date,open_price,close_price,high_price,low_price,volume,EMA_5,EMA_20,signal
2023-10-23,170.91,173.0,174.01,169.93,55980109,174.65563572106976,176.1365731462213,0
2023-10-24,173.05,173.44,173.67,171.45,43816644,174.2504238140465,175.8797566561007,0
2023-10-25,171.88,171.1,173.06,170.65,57156962,173.20028254269766,175.42454173646522,0
2023-10-26,170.37,166.89,171.3775,165.67,70625258,171.09685502846511,174.6117282377432,0
2023-10-27,166.91,168.22,168.96,166.83,58499129,170.13790335231008,174.0029922150935,0
2023-10-30,169.02,170.29,171.17,168.87,51130955,170.1886022348734,173.64937390889017,0
2023-10-31,169.35,170.77,170.9,167.9,44846017,170.38240148991562,173.37514782232643,0
2023-11-01,171.0,173.97,174.23,170.12,56934906,171.57826765994375,173.4318004106768,-1
2023-11-02,175.52,177.57,177.78,175.46,77334752,173.57551177329583,173.82591465728225,0
2023-11-03,174.24,176.65,176.82,173.35,79829246,174.6003411821972,174.09487516611455,0
2023-11-06,176.38,179.23,179.43,176.21,63841310,176.14356078813148,174.58393467410693,0
2023-11-07,179.18,181.82,182.44,178.97,70529966,178.03570719208764,175.2730837527676,0
2023-11-08,182.35,182.89,183.45,181.59,49340282,179.65380479472506,175.99850434774615,0
2023-11-09,182.96,182.41,184.12,181.81,53763540,180.57253652981672,176.6091229812972,0
2023-11-10,183.97,186.4,186.565,183.53,66177922,182.51502435321115,177.5415874592731,0
2023-11-13,185.82,184.8,186.03,184.21,43627519,183.27668290214078,178.23286484410707,0
2023-11-14,187.7,187.44,188.11,186.3,60108378,184.66445526809386,179.10973485895727,0
2023-11-15,187.845,188.01,189.5,187.78,53790499,185.7796368453959,179.95737915810702,0
2023-11-16,189.57,189.71,190.96,188.65,54412915,187.0897578969306,180.88620019067108,0
2023-11-17,190.25,189.69,190.38,188.57,50941404,187.9565052646204,181.72465731537136,0
2023-11-20,189.89,191.45,191.905,189.88,46538614,189.12100350974694,182.65088042819545,0
2023-11-21,191.41,190.64,191.52,189.74,38134485,189.6273356731646,183.4117489588452,0
2023-11-22,191.49,191.31,192.93,190.825,39630011,190.18822378210973,184.16396334371862,0
2023-11-24,190.87,189.97,190.9,189.25,24048344,190.1154825214065,184.71691921574643,1
2023-11-27,189.92,189.79,190.67,188.9,40552609,190.00698834760433,185.20006976662853,-1
2023-11-28,189.78,190.4,191.08,189.4,38415419,190.13799223173623,185.69530121742656,0
2023-11-29,190.9,189.37,192.09,188.97,43014224,189.8819948211575,186.04527253005307,1
2023-11-30,189.84,189.95,190.32,188.19,48794366,189.904663214105,186.41715133671514,-1
2023-12-01,190.33,191.24,191.56,189.23,45704823,190.34977547607,186.8764702570285,0
2023-12-04,189.98,189.43,190.05,187.4511,43389519,190.04318365071333,187.11966356588317,1
2023-12-05,190.21,193.42,194.4,190.18,66628398,191.16878910047555,187.71969560722818,-1
2023-12-06,194.45,192.32,194.76,192.11,40895115,191.5525260669837,188.15781983511155,0
2023-12-07,193.63,194.27,195.0,193.59,47477655,192.45835071132248,188.73993223176802,0
2023-12-08,194.2,195.71,195.99,193.67,53406358,193.5422338075483,189.40374820969532,0
2023-12-11,193.11,193.18,193.49,191.42,60943699,193.42148920503223,189.7633912373436,1
2023-12-12,193.08,194.71,194.72,191.721,52696900,193.85099280335484,190.23449683378732,-1
2023-12-13,195.09,197.96,198.0,194.85,70404183,195.22066186890322,190.97025904009368,0
2023-12-14,198.02,198.11,199.62,196.16,66831572,196.18377457926883,191.65023436960885,0
2023-12-15,197.53,197.57,198.3999,197.0,128538401,196.64584971951254,192.21402157250347,0
2023-12-18,196.09,195.89,196.63,194.39,55751861,196.39389981300837,192.5641147560747,1
2023-12-19,196.16,196.94,196.95,195.89,40233138,196.57593320867227,192.98086573168678,-1
2023-12-20,196.9,194.83,197.68,194.83,52242815,195.9939554724482,193.15697375724045,1
2023-12-21,196.1,194.68,197.08,193.5,46482549,195.5559703149655,193.30202387559854,-1
2023-12-22,195.18,193.6,195.41,192.97,37149570,194.903980209977,193.33040255411296,1
2023-12-26,193.61,193.05,193.89,192.83,28919310,194.28598680665132,193.30369754895932,0
2023-12-27,192.49,193.15,193.5,191.09,47899806,193.90732453776755,193.28905968715367,0
2023-12-28,194.14,193.58,194.66,193.17,34049898,193.7982163585117,193.31676828837712,-1
2023-12-29,193.9,192.53,194.4,191.725,42672148,193.3754775723411,193.2418379751983,1
2024-01-02,187.15,185.64,188.44,183.885,82488674,190.7969850482274,192.5178534061317,0
2024-01-03,184.22,184.25,185.88,183.43,58414460,188.61465669881827,191.7304387960238,0
2024-01-04,182.15,181.91,183.0872,180.88,71983570,186.37977113254553,190.7951589106881,0
2024-01-05,181.99,181.18,182.76,180.17,62196924,184.6465140883637,189.87942949062247,0
2024-01-08,182.085,185.56,185.6,181.5,59144470,184.95100939224244,189.4680552534203,0
2024-01-09,183.92,185.14,185.15,182.73,42841809,185.01400626149496,189.05585951499927,0
2024-01-10,184.35,186.19,186.4,183.92,46792908,185.40600417432998,188.78292051357073,0
2024-01-11,186.54,185.59,187.05,183.62,49128408,185.46733611621997,188.47883284561158,0
2024-01-12,186.06,185.92,186.74,185.19,40477782,185.61822407748,188.23513447936284,0
2024-01-16,182.16,183.63,184.26,180.934,65603041,184.95548271831998,187.796550243233,0
2024-01-17,181.27,182.68,182.93,180.3,47317433,184.19698847888,187.30925974387748,0
